Data S1B: List of protein abundances (copies/cell) calculated in S. cerevisiae. This table also includes information about the individual values in each experimental time-point  and the variability of measurements (CV) in both replicates.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),,,REPLICATE-1_protein abundance (copies /cell),,,,,,,,,REPLICATE-2_protein abundance (copies /cell),,,,,,,,
YBR046C,P38230,ZTA1,Probable quinone oxidoreductase,8002,566,0.07,16844,25618,2255,2864,3525,300,8568,9358,1.09,11685,10603,7259,12851,1522,696,7436,4793,0.64
YDR025W;YBR048W,P0CX47,RPS11A,40S ribosomal protein S11-A,1287962,170453,0.13,1899290,3231780,505469,1155500,1714650,243802,1458415,989949,0.68,1115780,1267690,891552,1402430,1602910,424692,1117509,380877,0.34
YBR049C,P21538,REB1,DNA-binding protein REB1,6811,2358,0.35,5011,8771,2355,3220,6114,1247,4453,2514,0.56,11549,9406,5014,6370,9438,13236,9169,2811,0.31
YBR052C,P38234,RFS1,Protein RFS1,19300,84,0,24271,44848,18114,18068,10168,833,19384,13569,0.7,44592,28409,18142,15110,359,8688,19217,14218,0.74
YBR053C,P38235,YBR053C,Uncharacterized protein YBR053C,12774,4106,0.32,36806,42055,2442,1435,1659,NA,16880,18491,1.1,15498,24467,2258,5040,2732,2011,8668,8466,0.98
YBR055C,P19735,PRP6,Pre-mRNA-splicing factor 6,104,3,0.03,NA,213,54,31,108,NA,101,70,0.69,226,132,17,53,NA,NA,107,80,0.75
YBR056W,P38081,YBR056W,Uncharacterized glycosyl hydrolase YBR056W,4908,1245,0.25,9059,21815,2387,1619,1905,132,6153,7559,1.23,5777,7694,2253,5845,198,209,3663,2927,0.8
YBR057C,P38236,MUM2,Protein MUM2,1566,392,0.25,372,5451,475,366,361,16,1174,1918,1.63,2570,5676,439,1103,234,1723,1958,1838,0.94
YBR058C,P38237,UBP14,Ubiquitin carboxyl-terminal hydrolase 14,1130,53,0.05,2262,2658,645,342,1124,69,1183,965,0.82,1336,1338,1225,588,867,1110,1078,271,0.25
YBR058C-A,Q3E790,TSC3,Serine palmitoyltransferase-regulating protein TSC3,3294,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3294,NA,NA,3294,0,0
YBR059C,P38080,AKL1,Serine/threonine-protein kinase AKL1,4853,426,0.09,2911,14514,2204,2363,9503,176,5279,5045,0.96,7484,4730,820,5988,1847,5693,4427,2350,0.53
YBR061C,P38238,TRM7,tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase,2037,45,0.02,NA,5635,359,252,NA,NA,2082,2513,1.21,NA,3506,369,2099,NA,NA,1992,1283,0.64
YBR065C,P38241,ECM2,Pre-mRNA-splicing factor SLT11,4570,4176,0.91,NA,21769,1199,7361,4654,NA,8746,7830,0.9,NA,NA,NA,143,NA,644,394,251,0.64
YBR069C,P38085,TAT1,Valine/tyrosine/tryptophan amino-acid permease 1,422,20,0.05,147,911,204,NA,921,29,442,391,0.88,NA,NA,NA,402,NA,NA,402,0,0
YBR071W,P38243,YBR071W,Uncharacterized protein YBR071W,1693,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1693,NA,NA,NA,NA,1693,0,0
YBR072W,P15992,HSP26,Heat shock protein 26,1147978,283802,0.25,1971330,3552600,828667,1123500,1060060,54526,1431780,1101724,0.77,1544560,1296010,1229100,524376,430973,160039,864176,513405,0.59
YBR073W,P38086,RDH54,DNA repair and recombination protein RDH54,208,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,208,0,0
YBR074W,P38244,PFF1,Vacuolar membrane protease,1249,500,0.4,2692,6489,610,108,573,19,1749,2300,1.32,555,1512,507,1722,122,72,748,642,0.86
YBR077C,P38247,SLM4,Protein SLM4,5361,649,0.12,2382,22753,964,1322,2628,NA,6010,8395,1.4,4588,9432,357,4472,NA,NA,4712,3214,0.68
YBR078W,P38248,ECM33,Cell wall protein ECM33,179840,2493,0.01,260282,392725,58968,137213,196773,18124,177347,125578,0.71,173570,178026,145912,147625,286588,162275,182333,48128,0.26
YBR079C,P38249,RPG1,Eukaryotic translation initiation factor 3 subunit A,69338,12807,0.18,106627,174192,44015,48106,108676,11253,82145,53874,0.66,69189,95470,29845,53061,61572,30046,56531,22831,0.4
YBR080C,P18759,SEC18,Vesicular-fusion protein SEC18,7799,1325,0.17,9649,29880,1799,6059,6802,557,9124,9772,1.07,5387,10151,12475,7226,2829,777,6474,4021,0.62
YBR081C,P35177,SPT7,Transcriptional activator SPT7,421,251,0.6,1816,335,80,NA,459,NA,673,674,1,254,150,NA,106,NA,NA,170,62,0.37
YBR082C,P15731,UBC4,Ubiquitin-conjugating enzyme E2 4,23478,11422,0.49,14553,36079,4075,16405,1029,193,12056,12438,1.03,18812,29873,18176,85366,21117,36057,34900,23459,0.67
YBR084W,P09440,MIS1,"C-1-tetrahydrofolate synthase, mitochondrial",24759,3498,0.14,43128,57641,13481,23492,27185,4616,28257,17728,0.63,29099,30486,24706,26777,9149,7350,21261,9390,0.44
YBR085C-A,O43137,YBR085C-A,Uncharacterized protein YBR085C-A,200435,130726,0.65,106668,200501,59605,33746,17671,65,69709,67609,0.97,492090,505430,301994,241577,350591,95282,331161,142104,0.43
YBR086C,P38250,IST2,Increased sodium tolerance protein 2,6947,739,0.11,12848,19550,2520,5158,5838,198,7686,6582,0.86,3855,9365,4116,9662,7624,2628,6208,2788,0.45
YBR087W,P38251,RFC5,Replication factor C subunit 5,949,172,0.18,NA,1938,259,136,NA,NA,777,822,1.06,NA,839,NA,2333,NA,192,1121,897,0.8
YBR088C,P15873,POL30,Proliferating cell nuclear antigen,87384,14689,0.17,55033,174189,44734,78065,70260,13891,72695,49812,0.69,86488,89013,72639,105092,72248,186954,102072,39546,0.39
YBR091C,P32830,TIM12,Mitochondrial import inner membrane translocase subunit TIM12,5238,1957,0.37,NA,20178,3009,3589,8605,593,7195,6995,0.97,2976,4745,1335,2707,NA,4643,3281,1281,0.39
YBR092C,P24031,PHO3,Constitutive acid phosphatase,11129,214,0.02,13239,26145,7365,7628,9858,1256,10915,7694,0.7,10888,12569,9319,12450,1825,21007,11343,5642,0.5
YBR093C,P00635,PHO5,Repressible acid phosphatase,9053,4538,0.5,2497,8945,3614,7514,3692,825,4514,2822,0.63,9377,9705,8808,26156,5421,22081,13591,7664,0.56
YBR094W,P38254,PBY1,Probable tubulin--tyrosine ligase PBY1,2187,518,0.24,1110,6119,734,752,1268,28,1669,2028,1.22,5209,3652,830,3571,NA,264,2705,1865,0.69
YBR095C,P38255,RXT2,Transcriptional regulatory protein RXT2,1523,72,0.05,1313,3502,1492,1854,1082,324,1594,972,0.61,3950,1198,860,1390,124,1186,1451,1190,0.82
YBR096W,P38256,YBR096W,Uncharacterized protein YBR096W,2509,1036,0.41,5568,4393,NA,NA,674,NA,3545,2086,0.59,NA,2096,NA,2102,NA,222,1473,885,0.6
YBR101C,P38260,FES1,Hsp70 nucleotide exchange factor FES1,15493,5000,0.32,11754,23349,7099,9831,9890,1034,10493,6692,0.64,17898,21058,8598,23070,5368,46966,20493,13446,0.66
YBR102C,P38261,EXO84,Exocyst complex component EXO84,1011,479,0.47,414,712,1144,430,406,89,532,327,0.62,2396,312,68,3890,NA,781,1489,1449,0.97
YBR103W,P38262,SIF2,SIR4-interacting protein SIF2,104,40,0.38,NA,64,NA,NA,NA,NA,64,0,0,NA,171,NA,117,NA,NA,144,27,0.19
YBR104W,P38087,YMC2,"Carrier protein YMC2, mitochondrial",3362,620,0.18,1645,9127,341,455,2142,NA,2742,3266,1.19,4569,5311,NA,2069,NA,NA,3983,1387,0.35
YBR106W,P38264,PHO88,Inorganic phosphate transport protein PHO88,184363,56083,0.3,429238,653330,77303,88460,180613,13733,240446,227600,0.95,112578,281112,42039,219344,78820,35786,128280,91593,0.71
YBR108W,P38266,AIM3,Altered inheritance of mitochondria protein 3,779,236,0.3,NA,1443,261,315,653,43,543,491,0.9,1518,1008,1223,727,240,1370,1014,429,0.42
YBR109C,P06787,CMD1,Calmodulin,407276,41023,0.1,533478,903032,232994,213812,293905,20296,366253,283435,0.77,391826,509279,348095,535253,629313,276025,448299,120384,0.27
YBR111C,Q01976,YSA1,ADP-ribose pyrophosphatase,24614,2289,0.09,55483,53611,16925,12443,21658,1302,26904,20501,0.76,40748,35298,14365,15394,9585,18563,22325,11515,0.52
YBR111W-A,Q6WNK7,SUS1,Transcription and mRNA export factor SUS1,6558,1460,0.22,NA,12738,2928,4566,4042,1214,5098,3989,0.78,12351,1665,7202,4802,15200,6889,8018,4528,0.56
YBR112C,P14922,CYC8,General transcriptional corepressor CYC8,9767,1914,0.2,8319,20354,5148,3757,9128,413,7853,6292,0.8,15855,15888,7466,8815,12404,9663,11682,3309,0.28
YBR115C,P07702,LYS2,L-aminoadipate-semialdehyde dehydrogenase,13179,3788,0.29,27339,46328,8836,8311,10312,672,16966,15387,0.91,11862,21185,5064,14561,2618,1058,9391,7141,0.76
YBR117C,P33315,TKL2,Transketolase 2,652,0,0,NA,1164,NA,140,NA,NA,652,512,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
YPR080W;YBR118W,P02994,TEF1,Elongation factor 1-alpha,3867964,429941,0.11,5427530,7759100,2484960,4410200,4996260,709377,4297905,2233105,0.52,3885580,4836750,2234340,2680160,4246860,2744450,3438023,941206,0.27
YBR119W,P32605,MUD1,U1 small nuclear ribonucleoprotein A,445,293,0.66,NA,NA,118,226,228,35,152,81,0.53,917,1031,840,162,NA,NA,738,339,0.46
YBR120C,P07253,CBP6,Cytochrome B pre-mRNA-processing protein 6,9543,2833,0.3,11538,24249,7588,20732,7701,2446,12376,7691,0.62,15984,10931,7025,4382,1156,780,6710,5406,0.81
YBR121C,P38088,GRS1,"Glycine--tRNA ligase 1, mitochondrial",146111,21984,0.15,186586,399443,86368,127865,185772,22538,168095,118083,0.7,150314,182332,87169,154083,87573,83294,124127,39456,0.32
YBR122C,P36531,MRPL36,"54S ribosomal protein L36, mitochondrial",2509,2019,0.8,NA,NA,78,601,1089,192,490,397,0.81,7801,NA,NA,4009,NA,1775,4528,2487,0.55
YBR123C,P32367,TFC1,Transcription factor tau 95 kDa subunit,773,167,0.22,1317,1277,NA,150,248,34,605,569,0.94,917,2501,NA,50,NA,292,940,955,1.02
YBR125C,P38089,PTC4,Protein phosphatase 2C homolog 4,139,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,139,0,0
YBR126C,Q00764,TPS1,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit",18842,204,0.01,27619,44883,16498,18037,6132,1107,19046,14359,0.75,30822,41893,9898,24860,1627,2727,18638,14983,0.8
YBR126W-A,Q8TGU7,YBR126W-A,Uncharacterized protein YBR126W-A,4085,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3336,4834,NA,NA,NA,NA,4085,749,0.18
YBR127C,P16140,VMA2,V-type proton ATPase subunit B,301238,26511,0.09,291915,520462,234682,239003,302432,59868,274727,135704,0.49,467479,351542,292151,272400,223794,359126,327749,77688,0.24
YBR130C,P38272,SHE3,SWI5-dependent HO expression protein 3,5491,558,0.1,3434,7880,2779,7830,6201,1474,4933,2501,0.51,1901,5082,5682,7596,3748,12290,6050,3289,0.54
YBR135W,P20486,CKS1,Cyclin-dependent kinases regulatory subunit,6254,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6254,NA,NA,6254,0,0
YBR137W,P38276,YBR137W,UPF0303 protein YBR137W,4547,371,0.08,3641,8800,4211,1953,5641,812,4176,2585,0.62,11015,6635,821,7257,643,3134,4918,3738,0.76
YBR139W,P38109,YBR139W,Putative serine carboxypeptidase YBR139W,1380,66,0.05,2395,NA,3085,562,486,41,1314,1198,0.91,1042,2777,721,1240,NA,NA,1445,791,0.55
YBR142W,P38112,MAK5,ATP-dependent RNA helicase MAK5,2092,119,0.06,2160,6342,1264,487,2862,152,2211,2066,0.93,3668,3495,558,3512,412,192,1973,1590,0.81
YBR143C,P12385,SUP45,Eukaryotic peptide chain release factor subunit 1,125342,15231,0.12,120559,231800,79537,99638,106965,22168,110111,62856,0.57,207657,161883,113355,137310,71358,151873,140573,42080,0.3
YBR145W,P38113,ADH5,Alcohol dehydrogenase 5,1346,176,0.13,1009,3228,274,169,NA,NA,1170,1231,1.05,1220,1941,348,2579,NA,NA,1522,831,0.55
YBR146W,P38120,MRPS9,"37S ribosomal protein S9, mitochondrial",963,175,0.18,NA,518,845,1163,1181,234,788,368,0.47,1674,1931,229,2392,279,318,1137,887,0.78
YBR149W,P38115,ARA1,D-arabinose dehydrogenase [NAD(P)+] heavy chain,57116,296,0.01,73568,168191,36186,21986,35601,5391,56820,53880,0.95,89623,75443,34112,75545,18715,51033,57412,25075,0.44
YBR151W,P38281,APD1,Actin patches distal protein 1,1759,491,0.28,NA,NA,945,81,3759,287,1268,1473,1.16,2263,2923,489,3327,NA,NA,2250,1086,0.48
YBR152W,P38282,SPP381,Pre-mRNA-splicing factor SPP381,286,0,0,NA,NA,NA,NA,505,67,286,219,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBR154C,P20434,RPB5,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",14338,785,0.05,10119,34161,11001,11826,10033,4175,13552,9542,0.7,35774,19862,3634,24681,613,6176,15123,12668,0.84
YBR155W,P33313,CNS1,Hsp70/Hsp90 co-chaperone CNS1,14442,2558,0.18,11666,16180,9488,14083,14326,5561,11884,3536,0.3,18990,18157,13708,18239,15669,17232,16999,1803,0.11
YBR156C,P38283,SLI15,Inner centromere protein-related protein SLI15,418,43,0.1,NA,NA,860,145,810,29,461,377,0.82,182,506,480,NA,NA,334,375,130,0.35
YBR159W,P38286,IFA38,Very-long-chain 3-oxoacyl-CoA reductase,4442,55,0.01,7908,15358,236,1456,1926,97,4497,5522,1.23,492,6326,107,18033,908,456,4387,6468,1.47
YBR160W,P00546,CDC28,Cyclin-dependent kinase 1,7314,406,0.06,6003,17567,3320,7788,5663,1110,6909,5216,0.76,13699,12040,4161,5658,NA,3045,7720,4317,0.56
YBR162C,P38288,TOS1,Protein TOS1,22213,975,0.04,26481,62348,7471,10144,18803,2176,21237,19998,0.94,23338,40673,4883,20979,17325,31931,23188,11229,0.48
YBR164C,P38116,ARL1,ADP-ribosylation factor-like protein 1,9897,3088,0.31,24532,38638,4647,3043,6858,190,12985,13911,1.07,7528,9429,2729,4433,9927,NA,6809,2807,0.41
YBR166C,P20049,TYR1,Prephenate dehydrogenase [NADP(+)],1571,258,0.16,3871,3324,1213,1838,688,41,1829,1371,0.75,352,2142,254,3724,NA,93,1313,1417,1.08
YBR169C,P32590,SSE2,Heat shock protein homolog SSE2,10362,170,0.02,10782,27623,8504,7778,6085,378,10192,8427,0.83,20334,22454,8382,9344,1146,1532,10532,8300,0.79
YBR170C,P33755,NPL4,Nuclear protein localization protein 4,2518,151,0.06,656,9054,1652,1345,1428,70,2368,3038,1.28,2751,2854,1418,4449,NA,1871,2669,1040,0.39
YBR171W,P33754,SEC66,Translocation protein SEC66,4132,492,0.12,13113,8779,723,2971,1784,376,4624,4715,1.02,3037,8710,3142,5795,453,705,3640,2879,0.79
YBR172C,P32909,SMY2,Protein SMY2,3824,1158,0.3,1647,4234,2115,1473,5805,722,2666,1773,0.66,6388,7296,5229,5261,3738,1981,4982,1733,0.35
YBR176W,P38122,ECM31,3-methyl-2-oxobutanoate hydroxymethyltransferase,418,67,0.16,NA,NA,NA,NA,560,142,351,209,0.59,NA,NA,NA,424,NA,544,484,60,0.12
YBR177C,P38295,EHT1,Medium-chain fatty acid ethyl ester synthase/esterase 2,11822,3609,0.31,21839,49268,6278,5535,8947,718,15431,16463,1.07,11243,14767,5074,13579,2547,2070,8213,5174,0.63
YBR179C,P38297,FZO1,Mitofusin FZO1,398,183,0.46,NA,215,NA,NA,NA,NA,215,0,0,NA,NA,NA,581,NA,NA,581,0,0
YPL090C;YBR181C,P0CX37,RPS6A,40S ribosomal protein S6-A,1250392,163158,0.13,982033,2932180,742150,1293400,2259170,272364,1413550,910589,0.64,1128080,1406340,593575,862154,1658380,874873,1087234,358041,0.33
YBR187W,P38301,GDT1,GCR1-dependent translation factor 1,691,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691,NA,NA,691,0,0
YBR188C,P38302,NTC20,Pre-mRNA-splicing factor NTC20,2007,1130,0.56,NA,NA,NA,NA,877,NA,877,0,0,4632,NA,NA,605,NA,4172,3136,1800,0.57
YBR189W,P05755,RPS9B,40S ribosomal protein S9-B,408221,27396,0.07,353401,923119,208549,442964,561962,123708,435617,261177,0.6,293010,479402,216720,546980,299468,449366,380824,117816,0.31
YBR191W,Q02753,RPL21A,60S ribosomal protein L21-A,672262,9562,0.01,741038,1275960,279203,615597,932453,131949,662700,384269,0.58,809396,822504,591120,826610,682711,358603,681824,168191,0.25
YBR193C,P38304,MED8,Mediator of RNA polymerase II transcription subunit 8,3059,269,0.09,NA,8518,1351,2675,666,737,2789,2954,1.06,2880,2763,3489,368,4245,6224,3328,1758,0.53
YBR194W,P38305,AIM4,Altered inheritance of mitochondria protein 4,1520,740,0.49,NA,NA,NA,NA,1448,113,780,667,0.86,2261,NA,NA,NA,NA,NA,2261,0,0
YBR195C,P13712,MSI1,Chromatin assembly factor 1 subunit p50,610,244,0.4,NA,NA,75,NA,658,NA,367,292,0.8,937,NA,502,817,NA,1158,854,237,0.28
YBR196C,P12709,PGI1,Glucose-6-phosphate isomerase,984593,81448,0.08,858067,1676500,572672,1104200,1023040,184389,903145,462012,0.51,1558340,1340880,976046,1005280,760750,754951,1066041,294297,0.28
YBR197C,P38306,YBR197C,Uncharacterized protein YBR197C,846,217,0.26,NA,500,434,NA,952,NA,629,230,0.37,1420,730,335,1766,NA,NA,1063,562,0.53
YBR198C,P38129,TAF5,Transcription initiation factor TFIID subunit 5,1346,312,0.23,1478,3042,200,395,934,156,1034,1010,0.98,786,1814,1357,2677,NA,NA,1659,692,0.42
YBR199W,P38131,KTR4,Probable mannosyltransferase KTR4,789,205,0.26,2119,2097,213,98,441,NA,994,917,0.92,422,597,102,1217,NA,NA,584,406,0.69
YBR200W,P29366,BEM1,Bud emergence protein 1,1699,9,0.01,1514,3123,987,1922,2488,213,1708,953,0.56,2956,2603,1935,1993,491,163,1690,1029,0.61
YBR205W,P38130,KTR3,Probable mannosyltransferase KTR3,2032,53,0.03,704,8660,208,824,NA,29,2085,3301,1.58,1282,942,580,5110,NA,NA,1978,1825,0.92
YBR208C,P32528,"DUR1,2",Urea amidolyase,1801,358,0.2,3336,4955,291,54,NA,NA,2159,2069,0.96,885,2853,NA,591,NA,NA,1443,1004,0.7
YBR211C,P38313,AME1,Central kinetochore subunit AME1,1715,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1715,1715,0,0
YBR212W,P32831,NGR1,Negative growth regulatory protein NGR1,397,96,0.24,717,1363,577,173,88,38,493,463,0.94,650,95,NA,NA,NA,159,302,248,0.82
YBR214W,P38314,SDS24,Protein SDS24,1862,383,0.21,1351,5053,332,NA,NA,NA,2245,2028,0.9,1629,814,NA,1993,NA,NA,1478,493,0.33
YBR215W,Q01448,HPC2,Histone promoter control protein 2,823,325,0.4,NA,567,169,505,1009,238,497,297,0.6,993,728,NA,1467,NA,1405,1148,303,0.26
YBR216C,P38315,YBP1,YAP1-binding protein 1,371,21,0.06,NA,393,NA,NA,NA,NA,393,0,0,143,NA,NA,557,NA,NA,350,207,0.59
YBR218C,P32327,PYC2,Pyruvate carboxylase 2,37555,4101,0.11,43841,120343,18980,34638,29855,2275,41655,37528,0.9,49546,60973,17157,57608,7748,7691,33454,23057,0.69
YBR221C,P32473,PDB1,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",137569,14107,0.1,85239,264080,97625,138602,111833,43394,123462,69134,0.56,164944,168008,169956,129718,117120,160311,151676,20525,0.14
YBR222C,P38137,PCS60,Peroxisomal-coenzyme A synthetase,1920,203,0.11,4286,4389,986,1029,1990,56,2122,1663,0.78,1364,4331,314,3357,635,300,1717,1570,0.91
YBR225W,P38321,YBR225W,Uncharacterized protein YBR225W,434,388,0.89,NA,821,NA,NA,NA,NA,821,0,0,NA,NA,NA,46,NA,NA,46,0,0
YBR227C,P38323,MCX1,Mitochondrial clpX-like chaperone MCX1,104333,46662,0.45,39486,246128,28159,14553,17508,196,57672,85140,1.48,140292,244564,6949,504307,6163,3695,150995,181256,1.2
YBR229C,P38138,ROT2,Glucosidase 2 subunit alpha,635,118,0.19,1609,1558,260,NA,292,43,753,684,0.91,550,981,176,641,109,646,517,297,0.58
YBR230C,P38325,OM14,Mitochondrial outer membrane protein OM14,3878,74,0.02,6418,6270,1958,NA,1163,NA,3952,2409,0.61,NA,4651,NA,2956,NA,NA,3804,848,0.22
YBR231C,P38326,SWC5,SWR1-complex protein 5,909,455,0.5,891,NA,274,NA,574,77,454,308,0.68,260,784,1692,2365,NA,1717,1364,747,0.55
YBR233W,P38151,PBP2,PAB1-binding protein 2,227,26,0.11,NA,197,205,NA,NA,NA,201,4,0.02,58,306,NA,394,NA,NA,253,142,0.56
YBR233W-A,P69850,DAD3,DASH complex subunit DAD3,9052,2235,0.25,7743,15170,5051,6249,5453,1236,6817,4225,0.62,13616,12889,7508,11866,4166,17672,11286,4360,0.39
YBR234C,P38328,ARC40,Actin-related protein 2/3 complex subunit 1,4623,132,0.03,4351,18924,793,1026,2992,442,4755,6484,1.36,4934,4984,1683,10092,NA,763,4491,3274,0.73
YBR236C,P32783,ABD1,mRNA cap guanine-N7 methyltransferase,665,20,0.03,1328,379,337,NA,1045,139,646,458,0.71,776,885,269,810,NA,NA,685,243,0.36
YBR238C,P38330,YBR238C,"Protein RMD9-like, mitochondrial",3648,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2250,8675,NA,19,NA,NA,3648,3669,1.01
YBR242W,P38331,YBR242W,HD domain-containing protein YBR242W,754,293,0.39,504,2510,NA,NA,NA,129,1048,1045,1,NA,585,NA,219,NA,579,461,171,0.37
YBR244W,P38143,GPX2,Glutathione peroxidase 2,10304,3375,0.33,6232,9812,3688,8683,11897,1257,6928,3634,0.52,11890,14548,16720,8561,9190,21165,13679,4389,0.32
YBR245C,P38144,ISW1,ISWI chromatin-remodeling complex ATPase ISW1,5508,1438,0.26,14220,13548,6473,1303,5647,485,6946,5354,0.77,5346,9646,1732,6605,629,462,4070,3403,0.84
YBR246W,P38332,RRT2,Diphthine methyltransferase,561,180,0.32,NA,741,NA,NA,NA,NA,741,0,0,NA,358,NA,404,NA,NA,381,23,0.06
YBR247C,P38333,ENP1,Essential nuclear protein 1,8860,2823,0.32,19955,27066,4883,3065,14011,1118,11683,9510,0.81,8456,12082,2985,11072,1403,223,6037,4696,0.78
YBR248C,P33734,HIS7,Imidazole glycerol phosphate synthase hisHF,27592,706,0.03,30137,65489,17251,27370,26698,2842,28298,18974,0.67,30877,40524,27352,29739,12841,19981,26886,8710,0.32
YBR249C,P32449,ARO4,"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited",85933,11131,0.13,60001,163978,47653,74843,87522,14818,74803,45950,0.61,113050,145357,42990,115522,19339,146128,97064,48821,0.5
YBR251W,P33759,MRPS5,"37S ribosomal protein S5, mitochondrial",5407,725,0.13,6169,20469,3009,4104,2667,375,6132,6640,1.08,11742,3550,2757,5096,NA,266,4682,3860,0.82
YBR252W,P33317,DUT1,Deoxyuridine 5'-triphosphate nucleotidohydrolase,135223,16839,0.12,105626,223250,70853,154917,130800,24860,118384,62789,0.53,183775,136393,130393,72986,161771,227055,152062,47770,0.31
YBR253W,P32570,SRB6,Mediator of RNA polymerase II transcription subunit 22,3486,873,0.25,NA,6410,2826,1713,1556,558,2613,2030,0.78,5068,1981,4309,876,1405,12519,4360,3950,0.91
YBR256C,P38145,RIB5,Riboflavin synthase,9667,1285,0.13,5944,26938,3699,7972,5456,283,8382,8627,1.03,16742,3512,6947,23768,2214,12525,10951,7616,0.7
YBR260C,P38339,RGD1,RHO GTPase-activating protein RGD1,1334,354,0.27,345,3815,220,366,155,NA,980,1420,1.45,2664,1455,NA,944,NA,NA,1688,721,0.43
YBR261C,P38340,TAE1,Alpha N-terminal protein methyltransferase 1,14321,1420,0.1,17520,20008,8818,10420,18481,2158,12901,6340,0.49,16812,21150,11541,18046,8541,18359,15741,4321,0.27
YBR263W,P37292,SHM1,"Serine hydroxymethyltransferase, mitochondrial",60566,2898,0.05,44208,134987,31078,59308,61214,15215,57668,38044,0.66,80628,60560,28613,61011,36196,113775,63464,28280,0.45
YBR267W,P38344,REI1,Cytoplasmic 60S subunit biogenesis factor REI1,4902,418,0.09,5656,14141,4436,232,2137,300,4484,4756,1.06,9324,9640,1875,9515,880,681,5319,4191,0.79
YBR268W,P36532,MRPL37,"54S ribosomal protein L37, mitochondrial",1593,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,1737,NA,NA,NA,1071,1593,381,0.24
YBR269C,P38345,SDH8,"Succinate dehydrogenase assembly factor 4, mitochondrial",12625,7314,0.58,839,17114,4416,2426,1761,NA,5311,6017,1.13,41047,19023,18117,13163,8347,NA,19939,11225,0.56
YBR272C,P38348,HSM3,DNA mismatch repair protein HSM3,276,22,0.08,111,398,NA,NA,NA,NA,254,144,0.57,NA,218,NA,380,NA,NA,299,81,0.27
YBR273C,P38349,UBX7,UBX domain-containing protein 7,3186,264,0.08,6097,7811,2122,1862,2611,197,3450,2633,0.76,3088,4374,2358,4396,406,2914,2923,1352,0.46
YBR275C,P29539,RIF1,Telomere length regulator protein RIF1,283,148,0.52,NA,55,165,183,NA,NA,134,57,0.42,234,52,NA,1609,206,54,431,594,1.38
YBR278W,P27344,DPB3,DNA polymerase epsilon subunit C,714,281,0.39,NA,NA,556,608,NA,135,433,212,0.49,NA,NA,468,594,NA,1926,996,660,0.66
YBR279W,P38351,PAF1,RNA polymerase II-associated protein 1,12314,1210,0.1,6980,20205,7145,16073,13545,2677,11104,6016,0.54,13206,20649,10445,15557,4353,16936,13524,5168,0.38
YBR280C,P38352,SAF1,SCF-associated factor 1,221,66,0.3,NA,NA,155,NA,419,NA,287,132,0.46,NA,NA,NA,154,NA,NA,154,0,0
YBR281C,P38149,DUG2,Probable di- and tripeptidase DUG2,571,207,0.36,NA,670,236,577,259,78,364,223,0.61,1133,240,1284,990,NA,240,778,448,0.58
YBR282W,P36526,MRPL27,"54S ribosomal protein L27, mitochondrial",1254,155,0.12,1226,3345,NA,443,625,NA,1410,1154,0.82,2054,1863,506,NA,580,491,1099,705,0.64
YBR283C,P38353,SSH1,Sec sixty-one protein homolog,3575,279,0.08,2143,11651,NA,1546,NA,78,3855,4564,1.18,1051,6360,98,9897,197,2174,3296,3631,1.1
YBR286W,P37302,APE3,Aminopeptidase Y,151031,4557,0.03,189919,328006,86720,120677,135228,18294,146474,96293,0.66,200853,217651,168556,136687,92586,117199,155589,44477,0.29
YBR288C,P38153,APM3,AP-3 complex subunit mu,2177,162,0.07,3886,1860,665,1836,1829,NA,2015,1040,0.52,419,2337,5112,3179,1367,1615,2338,1503,0.64
YBR289W,P18480,SNF5,SWI/SNF chromatin-remodeling complex subunit SNF5,281,40,0.14,NA,758,112,320,NA,92,320,268,0.84,418,110,209,NA,NA,229,241,111,0.46
